route_no,from,to,route
201J,Jeevanbheemanagar,Padmanaba Nagar,"Thippasandra Cross, CMH Road, Indiranagar 100�ft Road, Inner Ring Road, Kormangala, Madivala, Silk Board, Banashankari, Devegowda Petrol Bunk"
201H,Avalahalli,Kormangala 1st Block,"Madivala, Silk Board, BTM Layout, Jayanagar 5th Block, Banashankari, Devegowda Petrol Bunk"
201M,Jeevanbheemanagar,Hampinagar,"Thippasandra Cross, CMH Road, Indiranagar 100�ft Road, Inner Ring Road, Kormangala, Madivala, Silk Board, Banashankari, Devegowda Petrol Bunk, PESIT, Nayandahalli Cross, Attiguppe"
201MA,Jeevanbheemanagar,Madivala Mosque,"Thippasandra Cross, CMH Road, Indiranagar 100�ft Road, Domlur Layout, Inner Ring Road, Kormangala"
201MD,Domlur,JP Nagar 6th Phase,"BTM, Silk Board, DELL"
201MJ,Banashankari,Jeevanhalli,"BTM, Silk Board, Indiranagar"
201R,CV Raman Nagar,Srinagar,"BEML gate, Thippasandra Cross, CMH Road, Indiranagar 100�ft Road, Kormangala, Madivala, Silk Board, Banashankari, Katriguppe, Hosakerehalli Cross, Bank Colony, Hanumanthnagar"
201RC,CV Raman Nagar,Chikkalsandra,"BEML gate, Thippasandra Cross, CMH Road, Indiranagar 100 feet road, Inner Ring Road, Kormangala, Madivala, Silk Board, BTM Layout, Jayanagar 5th Block, Banashankari, Kadirenahalli Cross"
201S,Domlur,Banashankari,"Indiranagar 100�ft Road, CMH Road, Trinity Circle, Adugodi, Madiwala, SilkBoard, BTM Layout, Jayanagar 5th Block"
201U,AGCS Layout,Bayappanahalli,"Devegowda Petrol Bunk, Banashankari, BTM Layout, Silk Board, Madivala, Koramangala, Inner Ring Road, Indiranagar 100�ft Road"
201V,Jayanagar 4th Block,Neelsandra,"East End, BTM, Silk Board, Koramangla Water Tank, Koramangla Sony World"
210A,Majestic,Isro Layout,"KR market, Basavanagudi,Dayanandsagar college,Kumarswamy layout"
210G,(Shivajinagar),Shivajinagar),"Banashankari, Jayanagar 4th Block, Shantinagar bus stand,Dayanandsagar college,Kumarswamy layout"
210U,Majestic,Kumaraswamy Layout,"KR market, Basavanagudi,Dayanandsagar college"
210R,Majestic,Vasantpur,"KR market, Basavanagudi,Dayanandsagar college,Kumarswamy layout"
211N,KR Market,Bidadi,"Banashankari,�Konanakunte�cross,�Kaggalipura"
211T,KR Market,O B Chudahalli,"Banashankari,�Konanakunte�cross,�Art Of Living,�Udayapura,�SLN Stores(Appaji Stores)"
213V,KR Market,Harohalli,"Banashankari, Konanakunte Cross, Kaggalipura, Kebbagodi Cross"
215Z,KR Market,Bannerghatta,"Banashankari,�Konanakunte�cross,�Gottigere"
222A,Kempegowda Bus station,Kengeri Satellite Town,"MCTC, Nayandanahalli, kengeri"
222D,KR Market,Kengeri�Satellite Town,"via�Basavanagudi,�Banashankari,�Uttarahalli"
223J,Doddabasti,Bommanhalli,"Nayandahalli,�Banashankari"
224L,KR Market,Konasandra,"via Banashankari, Uttarahalli"
225,Kempegowda Bus Station/Majestic,BEMl 5th stage,"via Ideal Homes�Rajarajeshwarinagar Gate,�rajarajeswari temple"
226W,Banashankari,Bidadi,via
226�KG,Kempegowda Bus Station / Majestic,Kumbalagodu,
227BA,Kempegowda Bus Station / Majestic,Tavarekere (Magadi Road),
227CA,Kempegowda Bus Station / Majestic,Bheemanakuppe,
234B,Ullal Satellite Town,Marathahalli,"Banashankari, BTM, Silk Board"
235N,Nagarbhavi,Jayanagar�9th Block,"via�Viajayanagar,�MCTC,�Chamrajpet"
240P,Sunkadkatte,BTM Layout,"Kamakshipalya, KHB Colony,�Vijayanagar,�MCTC,�Chamrajpet"
